set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
no_option9,5,raw_logistic,ou_seqcal,mbb,5.0,-0.0022808675372218237,-0.10468063018983423,-0.08562737537035311,0.10359575907883445,0.12166509342885218,0.896,2910
no_option9,5,raw_logistic,ou_seqcal,mbb,10.0,-0.0022808675372218237,-0.12537539557897315,-0.110420966758981,0.1231691393769573,0.1632671848472989,0.98,2910
no_option9,5,raw_logistic,ou_seqcal,mbb,20.0,-0.0022808675372218237,-0.13471566358511214,-0.1171957706517582,0.151011737214783,0.17564722861235255,0.996,2910
no_option9,5,raw_logistic,ou_seqcal,mbb,40.0,-0.0022808675372218237,-0.13087887746108423,-0.1153904634541865,0.12846623865005463,0.16290500788849066,0.968,2910
no_option9,5,raw_logistic,ou_seqcal,mbb,60.0,-0.0022808675372218237,-0.1548344007916429,-0.1306698846030856,0.10963808138469394,0.14075141458397106,0.968,2910
no_option9,5,raw_logistic,ou_seqcal,stationary,10.0,-0.0022808675372218237,-0.12863971786208248,-0.11062869463528266,0.11867294072981487,0.13639578853888149,0.856,2910
no_option9,5,raw_logistic,ou_seqcal,stationary,20.0,-0.0022808675372218237,-0.13335470024977822,-0.11367398227815573,0.09854015830850406,0.13219973936242443,0.864,2910
no_option9,5,raw_logistic,ou_seqcal,stationary,40.0,-0.0022808675372218237,-0.13359954955323758,-0.11529328785525418,0.09670692455691426,0.11398330577895813,0.876,2910
no_option9,5,raw_logistic,ou_seqcal,episode_segments,,-0.0022808675372218237,-0.15857540040299511,-0.14221985950920818,0.10760068272285159,0.12936015018586886,0.868,2910
no_option9,20,pc2_logistic,ou_seqcal,mbb,5.0,0.07746997733308798,0.028296593139897887,0.036919314346523326,0.12243554863539638,0.13180795756211935,0.004,2906
no_option9,20,pc2_logistic,ou_seqcal,mbb,10.0,0.07746997733308798,0.019373484628921488,0.02891719923621947,0.14127773847306396,0.1587333330433932,0.016,2906
no_option9,20,pc2_logistic,ou_seqcal,mbb,20.0,0.07746997733308798,0.012259729211908422,0.023288306740320727,0.1534908709943401,0.1690909211011052,0.028,2906
no_option9,20,pc2_logistic,ou_seqcal,mbb,40.0,0.07746997733308798,0.013787896630647653,0.02908305092049986,0.15263468050593465,0.16252498451534664,0.02,2906
no_option9,20,pc2_logistic,ou_seqcal,mbb,60.0,0.07746997733308798,0.02134421880014186,0.032631143887202306,0.15780136117619245,0.17728325601233164,0.0,2906
